architecture,uncertainty_level,selection_rule,threshold,coverage,risk_regret,conditional_ece
A4,all,confidence_and_non_abort,0.6,0.636,0.17094412936665768,0.35098502892216277
A4,all,confidence_and_non_abort,0.6499999999999999,0.413,0.13904343918222392,0.29081815593401905
A4,all,confidence_and_non_abort,0.7,0.258,0.12546019759767982,0.25399744787400885
A4,all,confidence_and_non_abort,0.7499999999999999,0.102,0.108278184590332,0.21882728746876678
A4,all,confidence_and_non_abort,0.7999999999999999,0.022,0.07039328053310027,0.18289975435508998
A4,all,confidence_and_non_abort,0.85,0.0,,
A4,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A4,all,confidence_and_non_abort,0.95,0.0,,
A5,all,non_abort_only,0.0,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.0,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.049999999999999996,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.09999999999999999,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.15,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.19999999999999998,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.24999999999999997,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.3,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.35,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.39999999999999997,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.44999999999999996,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.49999999999999994,0.743,0.18212360666935273,0.367019930420297
A5,all,confidence_and_non_abort,0.5499999999999999,0.741,0.1818821602041115,0.3666446051635508
A5,all,confidence_and_non_abort,0.6,0.626,0.16704588034832213,0.34338648019835766
A5,all,confidence_and_non_abort,0.6499999999999999,0.406,0.13784346650417567,0.28791101679784903
A5,all,confidence_and_non_abort,0.7,0.248,0.1276620535580198,0.2534847131660077
A5,all,confidence_and_non_abort,0.7499999999999999,0.106,0.11380733336734687,0.22275047159020905
A5,all,confidence_and_non_abort,0.7999999999999999,0.018,0.07461825586630971,0.18978785502574375
A5,all,confidence_and_non_abort,0.85,0.0,,
A5,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A5,all,confidence_and_non_abort,0.95,0.0,,
A6,all,non_abort_only,0.0,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.0,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.049999999999999996,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.09999999999999999,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.15,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.19999999999999998,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.24999999999999997,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.3,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.35,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.39999999999999997,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.44999999999999996,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.49999999999999994,0.744,0.18078693659990283,0.3659071635115429
A6,all,confidence_and_non_abort,0.5499999999999999,0.743,0.18070257367954204,0.3657661135710152
A6,all,confidence_and_non_abort,0.6,0.631,0.166457983343526,0.34511324518320985
A6,all,confidence_and_non_abort,0.6499999999999999,0.418,0.1420908207252372,0.292819497742643
A6,all,confidence_and_non_abort,0.7,0.237,0.13115756642906246,0.2548771547408795
